,ticker,number_of_investors,total_value,total_units
583,JAZZ,3,3310562000,23552671
584,JBHT,3,2031007000,27685453
585,JBLU,3,1468812000,64848208
586,JCI1,13,10634152000,269285653
587,JD,14,13752902000,426250722
588,JEC,1,428913000,10224374
589,JKHY,2,933521000,11959005
590,JLL,2,970316000,6069786
591,JNJ,96,147615669862,1436989441
592,JNK,5,2713071000,80008056
593,JNPR,4,2558653000,92704797
594,JNS,1,518360000,36789204
595,JOE,1,453810000,24517040
596,JPM,94,146874381668,2224496760
597,JRVR,1,471144000,14047238
598,JUNO,1,1132937000,25948799
599,JWN,1,583835000,11721257
600,K,11,13066858000,180806212
601,KBE,1,790511000,23374051
602,KEP,1,603020000,28484637
603,KEY,4,2392248000,181368209
604,KEYS,1,624332000,22037856
605,KHC,22,42139012000,579152000
606,KIM,6,4490948000,169725987
607,KITE,1,365995000,5939553
608,KKR,2,1032088000,66202013
609,KLAC,6,4145907000,59782277
610,KMB,17,14865014000,116777563
611,KMI,12,8464795000,567346325
612,KMX,6,4615153000,85513272
613,KO,51,94695948849,2204201163
614,KOF,1,440064000,6214719
615,KORS,3,1315720000,32844131
616,KOS,2,1115718000,214561163
617,KR,18,17636479000,421598931
618,KRC,2,1603284000,25336354
619,KRE,1,400670000,9557971
620,KSS,4,2491346000,52306139
621,KSU,3,1549816000,20755552
622,L,5,3146183000,81931775
623,LAMR,2,862290000,14376299
624,LAZ,1,448029000,9953983
625,LB,14,11950133000,124714529
626,LBRDA,16,12334684000,76496237
627,LBTYA,19,15427820000,373612550
628,LC,2,866705000,78434964
629,LEA,2,1137766000,9262937
630,LEG,2,1068804000,25435704
631,LEN,5,2734541000,56000567
632,LGFB,1,978536000,30211049
633,LH,4,2731086000,22089132
634,LHO,1,408787000,16247476
635,LII,3,1104522000,8843244
636,LKQ,2,1408485000,47535769
637,LLL,6,3477854000,29100938
638,LLTC,6,3946082000,92914722
639,LLY,29,52966970000,628628502
640,LM,2,806557000,20559711
641,LMT,23,38645605000,177971045
642,LNC,5,2874325000,57189120
643,LNG,6,4295151000,115306044
644,LNKD,14,13039002000,57930431
645,LNT,2,937161000,15006590
646,LOW,28,33087651000,435149947
647,LPI,1,700484000,87670127
648,LPLA,3,1235366000,28965215
649,LPT,1,661945000,21318656
650,LQ,1,478706000,35173076
651,LQD,16,10926232000,95835727
652,LRCX,5,4680646000,58935298
653,LSI,1,586152000,5462229
654,LUK,1,475067000,27318426
655,LULU,5,3652416000,69609629
656,LUV,9,10663579000,247644611
657,LVLT,8,12061184000,221876091
658,LVS,9,7371075000,168135826
659,LXRX,1,765564000,57517977
660,LYB,19,14649529000,168579415
661,LYG,1,374494000,85893218
662,M,4,1963957000,56145299
663,MA,50,57751979000,591544478
664,MAA,3,1884247000,20749321
665,MAC,8,7092558000,87898919
666,MAN,2,842594000,9996368
667,MANH,1,408915000,6179755
668,MAR,5,4273914000,63751755
669,MAS,4,2124476000,75070014
670,MAT,5,3341652000,122991015
671,MBB,3,3577444000,33210813
672,MBLY,5,2711230000,64125422
673,MCD,40,49171357000,416185212
674,MCHP,5,3133976000,67339324
675,MCK,22,21478732000,108905778
676,MCO,8,6866986000,68437282
677,MCRB,1,494193000,14083579
678,MCRN,1,517240000,41346128
679,MD,2,1011874000,14120483
680,MDCO,2,743040000,19899276
681,MDLZ,35,37198841000,831049551
682,MDRX,1,396380000,25772456
683,MDT,45,67150416000,872969934
684,MDVN,2,1703580000,35241633
685,MDY,5,2747966000,10848085
686,MELI,2,1229623000,10754068
687,MEOH,2,990246000,30013213
688,MET,23,23587112000,489269169
689,MFC,13,9429561000,629102268
690,MFRM,1,581968000,13039840
691,MGA,4,2648129546,57560042
692,MGM,4,3775983000,166196462
693,MHG,1,552994000,41957030
694,MHK,7,4070076908,21490356
695,MIC,1,507399000,5526447
696,MIDD,2,832265000,7715442
697,MIK,3,3288852000,148749554
698,MJN,11,7268203000,92060929
699,MKC,4,2652991000,31007286
700,MKL,6,3568591000,4039841
701,MLCO,2,1045326000,62221795
702,MLM,4,2469801000,18083172
703,MLPI,1,453542000,17337263
704,MMC,13,15231395000,274686300
705,MMM,27,37110814000,246364431
706,MMP,6,3725847190,56286671
707,MNK,5,3196936000,42837373
708,MNST,13,11442346000,76814811
709,MO,40,48873112000,839233185
710,MON,22,22123557000,224559158
711,MOS,4,2050895000,74334297
712,MPC,13,8924486000,172154327
713,MPG,1,942041000,51365358
714,MPLX,6,3228340875,83735078
715,MPSX,1,466942000,26913072
716,MPW,1,402254000,34948354
717,MRD,1,1201673000,74407005
718,MRK,55,79408504000,1503089508
719,MRO,5,2627351000,208686006
720,MRVL,1,684785000,77639996
721,MS,19,35668319000,1121316983
722,MSCI,5,2660671000,36887144
723,MSFT,142,273665040428,4929744462
724,MSI,6,4722538000,68992613
725,MTB,10,8195435000,67630271
726,MTD,4,2312866000,6819995
727,MTG,1,4947894000,35952000
728,MTN,2,1110121000,8673497
729,MU,7,4348821000,307120945
730,MUB,2,840306000,7590159
731,MXIM,5,3767209000,99137063
732,MYGN,2,871373000,20189360
733,MYL,10,9493629000,175580356
734,N,2,1507562000,17815675
735,NANR,1,689865000,27451856
736,NAVI,2,818020000,71442891
737,NBIX,2,1276379000,22562830
738,NBL,7,5847477000,177572847
739,NCLH,8,6328776000,107999848
740,NCS,1,536259000,43211817
741,NDAQ,3,2602068000,44732118
742,NEAR,3,1609477000,32177012
743,NEE,25,20718095000,202925245
744,NEM,2,1282379000,71282904
745,NEU,2,1070503000,2811713
746,NFLX,28,32410242000,283362848
747,NFRA,1,479006000,11646158
748,NFX,3,1247656000,38318606
749,NI,3,1532576000,78553655
750,NKE,37,44947857000,719186978
751,NKTR,1,438157000,26003375
752,NLSN,6,5522950000,118518185
753,NLY,1,591211000,63028900
754,NNN,3,1657095000,41375750
755,NOC,21,17521607000,92800119
756,NOK,1,486423000,69291028
757,NOV,9,4928832000,147173217
758,NOW,5,4460185000,51524364
759,NRF,1,437024000,25662028
760,NRG,1,406529000,34539407
761,NSC,9,8477140000,100214459
762,NSM,1,910560000,68104736
763,NSRGY,3,2174589000,29208063
764,NTAP,5,3791005000,142894934
765,NTES,8,7516004000,41430885
766,NTRS,12,8088749000,112203404
767,NUAN,2,1734230000,87191058
768,NUE,7,4424615000,109792013
769,NVDA,7,7110771000,215739439
770,NVO,11,6786735000,116851313
771,NVR,2,826137000,502822
772,NVS,10,10147144000,117935188
773,NWL,7,3924660000,89037931
774,NWSA,4,2084410000,154996342
775,NXPI,13,10228714000,121408850
776,NYCB,2,905193000,55465330
777,O,6,4757678000,92149489
778,OC,2,854041000,18159537
779,ODFL,1,389434000,6592754
780,OEF,1,399592000,4382933
781,OGE,1,378596000,14400777
782,OHI,3,2224295000,63587628
783,OII,1,546404000,14563024
784,OKE,1,459033000,18614498
785,OKS,3,1165878000,39571281
786,OLLI,1,588598000,34603040
787,OMC,11,7354909000,97209904
788,OMF,3,3854537000,92791016
789,OPHT,2,790462000,10065722
790,ORCL,58,64340162000,1760547493
791,ORI,2,1767846000,33243091
792,ORLY,14,11042547000,43574071
793,OSK,1,415971000,10655000
794,OTEX,1,410080000,8586709
795,OXY,27,25086586000,371060278
796,PAA,2,1251854000,57145714
797,PACW,1,380148000,8820149
798,PAH,1,548321000,42737394
799,PANW,5,3171303000,18004441
800,PAY,1,374544000,9962287
801,PAYX,8,5177351000,97888941
802,PBA,1,757517000,34812298
803,PBCT,2,1064749000,65928527
804,PBF,1,405830000,11025000
805,PBI,1,436955000,21160087
806,PBR,2,1382627000,362997025
807,PBYI,2,827279000,10552030
808,PCAR,7,5312226000,112072148
809,PCG,12,10980318000,206435696
810,PCL,3,1640604000,34379821
811,PCP,17,15197315000,65502872
812,PCY,2,1020803000,37378363
813,PDM,1,402745000,21331860
814,PDRDY,1,659566000,5816858
815,PEG,8,4943695000,127766075
816,PEP,51,65742697568,657635140
817,PFE,81,110612269832,3426266903
818,PFF,1,520637000,13401225
819,PFG,7,4592203000,102094571
820,PFGC,1,1389350000,60041050
821,PG,70,97957561000,1233502990
822,PGND,1,967609000,30669066
823,PGR,12,8357421000,262811829
824,PGRE,1,417931000,23090065
825,PH,8,5003100000,51588923
826,PHI,1,390202000,9127556
827,PHM,3,1241229000,69653714
828,PII,1,402927000,4687916
829,PKG,1,454522000,7208922
830,PKI,3,1583747000,29564068
831,PKY1,1,369859000,23663397
832,PLD,20,14190483000,330626671
833,PLNT,1,1015800000,64990396
834,PM,44,72217461000,821081527
835,PNC,22,23826652000,249999575
836,PNR,6,3776850000,76253627
837,PNRA,1,486176000,2496024
838,PNW,2,990063000,15354565
839,POM,1,573594000,22052797
840,POT,4,2416271000,141137112
841,PPG,8,8135868000,82330098
842,PPL,13,8007325000,234612879
843,PPS,1,475139000,8031416
844,PRAH,1,1807797000,39933657
845,PRE,1,423889000,3033413
846,PRGO,6,3987554000,27557406
847,PRTA,1,434519000,6379661
848,PRTY,1,841189000,65157952
849,PRU,15,13682747000,168072319
850,PSA,25,24001447000,96899682
851,PSTG,1,417878000,26838635
852,PSX,19,18965022000,231846026
853,PVH,1,526715000,7151591
854,PX,18,15334580000,149480076
855,PXD,11,9326326000,74384473
856,PYPL,20,16885961000,463624015
857,QCOM,40,37160240000,740540669
858,QDF,1,572144000,16431466
859,QGEN,2,1276856000,46514488
860,QQQ,26,22164089060,198783948
861,QRTEA,14,9558427000,544228651
862,QRVO,3,2578250000,50653240
863,QSR,2,1978775000,52949181
864,QUNR,2,1004302000,19042498
865,RACE,1,363236000,7567427
866,RAD,2,979758000,124969222
867,RAI,19,18706113000,405332779
868,RARE,2,1186798000,10579415
869,RAX,1,511570000,20204206
870,RBGLY,1,574491000,6444862
871,RCI,5,4010496000,116389070
872,RCL,10,7966611000,78713680
873,RDSA,12,10480173000,228476063
874,RDUS,2,755068000,12269541
875,RE,4,1640030000,8957508
876,REG,5,2828496000,41522254
877,REGN,20,28671715000,52815102
878,RF,3,2891378000,301184547
879,RGA,2,791671000,9253899
880,RH,2,850168000,10700664
881,RHHBY,2,3303050000,24778024
882,RHI,1,556499000,11805258
883,RHP,1,367496000,7116518
884,RHT,6,6172548000,74538626
885,RIG,1,451125000,36439874
886,RIO,2,1236312000,42455776
887,RJF,2,923572000,15931894
888,RL,3,1414374000,12687244
889,RLGY,2,771153000,21029541
890,RLJ,1,404241000,18688901
891,RMD,2,1021380000,19023641
892,RNR,1,386937000,3418480
893,ROK,5,2758167000,26880046
894,ROP,7,8525493000,44920555
895,ROST,10,9181250000,170623382
896,RPAI,2,890929000,60320255
897,RPM,2,988544000,22436325
898,RRC,2,803032000,32630296
899,RSG,5,2589272000,58860341
900,RSP,3,1419349000,18519718
901,RTN,20,16995674000,136478323
902,RWX,2,2221443000,56785370
903,RY,23,30770773000,574259493
904,RYAAY,4,4658835000,53884287
905,S,1,672283000,185713517
906,SABR,3,4131136000,147698801
907,SAP,1,480244000,6071354
908,SATS,1,539754000,13800931
909,SAVE,1,427627000,10730914
910,SBAC,6,2962594000,28196388
911,SBH,1,427971000,15344977
912,SBNY,3,1253640000,8173917
913,SBUX,32,40363507000,672413497
914,SCAI,1,483949000,12156480
915,SCG,2,1132881000,18728519
916,SCHF,1,443844000,16104643
917,SCHH,1,363511000,9170330
918,SCHW,22,20356609000,618179949
919,SCHX,1,555491000,11436929
920,SCI,1,766925000,29474409
921,SCPB,3,1960410000,64487228
922,SCTY,2,1046196000,20505608
923,SCZ,2,795558000,15927090
924,SDY,1,1421946000,19327805
925,SE1,7,4359260000,182091038
926,SEAS,1,383996000,19502063
927,SEE,3,1776023000,39820946
928,SEIC,2,1162011000,22175758
929,SEP,1,718596000,16336332
930,SERV,1,534616000,13624240
931,SFM,2,870197000,32726485
932,SGEN,4,3790530000,84459206
933,SHLD,2,1039087000,50539253
934,SHO,1,373511000,29904768
935,SHPG,3,3727638000,18183599
936,SHW,9,6488065000,24992482
937,SHY,3,1575087000,18671021
938,SIG,6,3387559144,27387543
939,SIRI,2,749715000,184205210
940,SIRO,2,864631000,7891125
941,SIVB,1,421480000,3544825
942,SIX,2,1301785000,23694678
943,SIZE,2,1003392000,11060189
944,SJM,4,2756473000,22348549
945,SJNK,1,514484000,20026661
946,SJR,2,1235962000,71867597
947,SKT,1,447476000,13684321
948,SKX,1,588954000,19495331
949,SLB,41,46338140000,663435949
950,SLF,7,4122395000,132194599
951,SLG,8,5930496000,52491601
952,SLM,1,364659000,55929331
953,SMG,1,368636000,5714394
954,SNA,3,1601687000,9343125
955,SNDK,10,6773371000,89135043
956,SNE,1,1102574000,44801850
957,SNH,1,498510000,33592342
958,SNI,2,1101810000,19956712
959,SNPS,3,1601582000,35114716
960,SNX,1,533762000,5935306
961,SNY,6,5656571000,132627692
962,SO,11,10214106000,218296804
963,SOHU,1,376304000,6579899
964,SPG,35,44670216000,229727377
965,SPGI,14,10781582000,109368897
966,SPLK,7,3795500000,64541875
967,SPLS,2,898942000,94925278
968,SPR,3,1915578000,38257966
969,SPWR,1,455393000,15174727
970,SPY,113,267325746942,1302765228
971,SQM,1,461547000,24279143
972,SRC,2,1150540000,114824274
973,SRCL,3,1880412000,15592231
974,SRE,11,8018464000,85293825
975,SSNC,4,2282633000,33435373
976,ST,5,3053295000,66289847
977,STAY,3,2034309000,127943912
978,STE,1,454959000,6038741
979,STI,10,8431248000,196807845
980,STJ,7,6564777000,106277816
981,STO,1,1576882000,112957144
982,STOR,1,1631800000,70336144
983,STRZA,1,432211000,12901833
984,STT,11,12372605000,176644018
985,STX,4,3950956000,107773136
986,STZ,10,8049202000,56509462
987,SU,19,15528274000,602080704
988,SUI,3,1604326000,23410586
989,SWK,8,5273065000,49405716
990,SWKS,7,4712332000,61339219
991,SYA,2,1290220000,40611258
992,SYF,16,9550896000,314071759
993,SYK,12,14632660000,157441971
994,SYMC,6,4853779000,231131982
995,SYNH,1,499785000,10302711
996,SYY,13,9754028000,237902885
997,T,60,87652224028,2547193095
998,TAP,7,4608779000,49071319
999,TCO,1,653471000,8517605
1000,TCP,1,467198000,9398472
1001,TD,25,31690596000,805970065
1002,TDC,1,453090000,17149513
1003,TDG,5,2983239000,13058603
1004,TE,1,536350000,20125724
1005,TEAM,1,361241000,12461644
1006,TEGP,1,634207000,40139699
1007,TEL,14,13588925000,210322237
1008,TEVA,22,22405986000,341346039
1009,TFX,2,1004258000,7639847
1010,TGNA,1,473682000,18561220
1011,TGT,21,23501510000,323677782
1012,THC,1,542074000,17890230
1013,TIF,3,1805957000,23672230
1014,TILT,1,636280000,7599179
1015,TIP,3,2990299000,27263849
1016,TJX,24,23780706000,335118679
1017,TLK,1,833297000,18767989
1018,TLT,6,5138142000,42606298
1019,TLTD,1,482855000,8750541
1020,TMK,2,920091000,16096761
1021,TMO,29,32278759000,227562213
1022,TMUS,5,3843378000,98245880
1023,TNET,1,388767000,20091312
1024,TOL,2,828033000,24865837
1025,TOT,1,945590000,21036475
1026,TPR,3,1702320000,52011153
1027,TPX,1,428045000,6075000
1028,TRCO,1,478257000,14145447
1029,TRI,4,2727869000,72132624
1030,TRIP,7,4341337000,49249461
1031,TRMB,3,1265639000,59004110
1032,TROW,5,3934481000,55035368
1033,TRP,9,6901794000,211685071
1034,TRQ,1,540851000,212933534
1035,TRU,2,3988256000,144659256
1036,TRV,16,13237032000,117279290
1037,TS,1,1018679000,39916869
1038,TSCO,4,3371490000,39432481
1039,TSE,1,1051002000,37269567
1040,TSLA,13,15793991000,65805672
1041,TSM,19,12954720000,568542165
1042,TSN,7,4935853000,92553155
1043,TSRO,1,463255000,8854255
1044,TSS,3,2074911000,41664905
1045,TU,6,4073558000,147417415
1046,TV,7,3961977000,145607458
1047,TW,2,1031737000,8031578
1048,TWC,30,29899654000,161110656
1049,TWTR,6,3393456000,126943115
1050,TWX,29,26839671000,415038744
1051,TXN,27,33879273000,618139000
1052,TXT,5,3880929000,92381242
1053,TYC,6,5337735000,167379365
1054,TYL,1,387683000,2223970
1055,U10D,3,2282984000,101698686
1056,UA,7,5411894000,67137001
1057,UAL,12,9343337000,163060179
1058,UBS,17,17805709000,918327637
1059,UDR,8,6109892000,162627054
1060,UGI,2,1151529000,34109294
1061,UHS,5,2953016000,24713424
1062,UL,2,876276000,20321833
1063,ULTA,5,2862578000,15473400
1064,ULTI,2,838894000,4290797
1065,UN,1,622824000,14377060
1066,UNH,51,76229813000,647990536
1067,UNM,4,2220659000,66706297
1068,UNP,28,30145991000,385512864
1069,UNVR,2,1075563000,63231188
1070,UPS,25,27239724000,283081183
1071,URI,2,1052636000,14511097
1072,USB,30,33545833000,786196954
1073,USG,1,947359000,39002016
1074,USMV,1,498617000,11922933
1075,UTHR,3,1662807000,10617503
1076,UTX,37,48207203000,501804788
1077,V,81,106246388000,1367866181
1078,VA,1,378437000,10509208
1079,VAL,2,881306000,10624531
1080,VALE,2,1325500000,377305667
1081,VAR,3,1497321000,18531203
1082,VB,2,1278450000,11555057
1083,VBK,1,383659000,3159240
1084,VBND,1,381469000,7767650
1085,VCIT,4,2091879000,24876656
1086,VCSH,3,1542398000,19526516
1087,VDC,1,528810000,4097076
1088,VDE,1,637938000,7674907
1089,VEA,12,10645494000,289910020
1090,VER,3,2052400000,259141408
1091,VEU,2,1030663000,24014182
1092,VFC,12,17037082000,273687942
1093,VFH,1,1337155000,27598660
1094,VGK,4,3312908000,66417576
1095,VGR,1,1719547000,11222000
1096,VGT,2,2879006000,26586088
1097,VIAB,6,4306406000,104617241
1098,VIDI,1,469739000,23393364
1099,VIG,4,2506615000,32235288
1100,VIPS,2,1118278000,73233653
1101,VIS,1,1150503000,11387745
1102,VIV,1,573623000,63524177
1103,VLO,16,11852382000,167605255
1104,VMBS,1,582774000,11054142
1105,VMC,5,4687351000,49356377
1106,VNO,14,11166777000,111712438
1107,VNQ,5,7769689000,97450018
1108,VNQI,1,494753000,9682050
1109,VO,6,3762001000,31321300
1110,VOD,3,1322249000,40987184
1111,VOO,10,8476867000,45347809
1112,VOYA,1,610691000,16545417
1113,VPL,1,425773000,7513207
1114,VRSK,5,2880115000,37462763
1115,VRSN,7,6260392000,323782263
1116,VRTX,17,19737961000,156862029
1117,VRX,31,26477476000,259591850
1118,VSAT,2,1064688000,17451030
1119,VSLR,1,787356000,82359374
1120,VTI,9,8125688000,78110212
1121,VTR,11,9856527000,174668233
1122,VTV,8,7222477334,88597608
1123,VUG,8,8571229000,80564249
1124,VUSE,1,397640000,16027412
1125,VV,1,430239000,4601484
1126,VWO,7,9075062000,277439949
1127,VXX,2,823832000,41059152
1128,VYM,1,473179000,7088830
1129,VZ,62,92375229141,1998490712
1130,WAB,3,1919735000,26992901
1131,WAT,6,3879855000,28829478
1132,WBA,30,36735094000,430412818
1133,WBC,1,381573000,3731395
1134,WCG,1,367648000,4700778
1135,WCN,3,1636266000,29881578
1136,WDAY,7,4091101000,51344140
1137,WDC,6,3680339000,61288058
1138,WEC,7,4204960000,81952053
1139,WELL,12,10868386000,159758886
1140,WEN,1,439336000,40792537
1141,WES,2,931392000,20551903
1142,WFC,90,173746412000,3166674780
1143,WFM,6,3585863000,107040586
1144,WFT,5,3217668000,383512124
1145,WHR,5,2594568000,17665805
1146,WLTW,7,4640111000,95534499
1147,WM,12,9200233000,172385211
1148,WMB,9,6440497000,250603019
1149,WMGI,1,372279000,15396174
1150,WMT,31,35948781000,586463091
1151,WP,2,963426000,20316880
1152,WPC,1,815521000,13822403
1153,WPM,1,363120000,29212229
1154,WPZ,5,2378777000,85414490
1155,WR,2,785289000,18516599
1156,WRB,3,1202900000,21970779
1157,WRI,2,988553000,28587422
1158,WRK,5,3999043000,87659644
1159,WST,1,516758000,8581170
1160,WSTC,1,390401000,18099239
1161,WTM,1,996752000,1371403
1162,WTR,1,404226000,13564654
1163,WTW,1,671307000,29443300
1164,WU,6,3992331000,222910616
1165,WUBA,1,607300000,9207105
